N,종목명,현재가,전일비,등락률,액면가,시가총액,상장주식수,외국인비율,거래량,PER,ROE,토론실
1,삼성전자,"55,050","하락
				1,550",-2.74%,100,"3,258,761","5,919,638",50.18,"8,267,604",11.12,9.03,
2,SK하이닉스,"175,200","하락
				5,400",-2.99%,"5,000","1,275,460","728,002",53.73,"1,754,147",6.45,31.06,
3,LG에너지솔루션,"346,000","상승
				1,000",+0.29%,500,"809,640","234,000",4.40,"93,331",-79.47,-4.93,
4,삼성바이오로직스,"1,028,000","하락
				6,000",-0.58%,"2,500","731,669","71,174",13.13,"14,587",67.54,10.45,
5,현대차,"184,200","하락
				2,800",-1.50%,"5,000","385,745","209,416",35.93,"327,923",4.00,12.43,
6,삼성전자우,"45,650","하락
				1,050",-2.25%,100,"372,492","815,975",74.16,"413,511",9.22,N/A,
7,한화에어로스페이스,"794,500","상승
				23,500",+3.05%,"5,000","362,142","45,581",47.09,"157,755",16.93,53.94,
8,셀트리온,"159,900","상승
				100",+0.06%,"1,000","356,990","223,258",22.40,"195,157",86.20,2.46,
9,기아,"85,800",보합0,0.00%,"5,000","341,203","397,673",38.72,"267,805",3.51,19.09,
10,HD현대중공업,"356,500","상승
				3,000",+0.85%,"5,000","316,476","88,773",9.90,"150,020",50.92,11.39,
11,KB금융,"78,900","상승
				900",+1.15%,"5,000","310,494","393,528",74.78,"343,441",6.21,8.86,
12,NAVER,"185,300","상승
				1,400",+0.76%,100,"293,584","158,437",48.48,"231,480",15.55,7.90,
13,한화오션,"78,500","하락
				900",-1.13%,"5,000","240,535","306,413",11.15,"1,236,634",45.53,11.52,
14,신한지주,"47,350","상승
				250",+0.53%,"5,000","238,381","503,445",57.92,"389,200",5.42,8.11,
15,현대모비스,"241,500",보합0,0.00%,"5,000","224,583","92,995",41.91,"38,148",5.55,9.35,
16,메리츠금융지주,"113,800","하락
				400",-0.35%,500,"210,108","184,629",16.05,"89,660",9.57,23.44,
17,POSCO홀딩스,"254,500","하락
				3,000",-1.17%,"5,000","205,974","80,933",29.43,"74,195",19.47,2.00,
18,삼성물산,"115,200","하락
				200",-0.17%,100,"195,813","169,977",27.82,"41,485",9.38,6.83,
19,크래프톤,"379,000","상승
				10,000",+2.71%,100,"181,583","47,911",41.60,"63,737",13.95,21.10,
20,HMM,"19,330","상승
				110",+0.57%,"5,000","170,305","881,039",9.49,"381,723",3.82,15.35,
21,카카오,"38,100","하락
				750",-1.93%,100,"169,115","443,872",27.95,"780,533",307.26,0.56,
22,삼성화재,"350,000","하락
				1,000",-0.28%,500,"165,812","47,375",53.61,"13,705",8.54,13.11,
23,하나금융지주,"57,700","상승
				400",+0.70%,"5,000","165,738","287,241",66.56,"185,892",4.48,9.11,
24,HD한국조선해양,"228,500","상승
				2,500",+1.11%,"5,000","161,717","70,773",31.58,"79,285",13.79,11.16,
25,삼성생명,"79,500",보합0,0.00%,500,"159,000","200,000",21.69,"38,594",7.55,6.18,
26,한국전력,"24,400","상승
				250",+1.04%,"5,000","156,639","641,964",16.82,"997,158",4.49,9.22,
27,LG화학,"220,500","하락
				4,500",-2.00%,"5,000","155,656","70,592",31.01,"101,595",-24.99,-2.11,
28,두산에너빌리티,"23,900","하락
				200",-0.83%,"5,000","153,094","640,561",23.68,"1,537,188",137.36,1.52,
29,SK이노베이션,"95,600","하락
				2,100",-2.15%,"5,000","144,389","151,035",13.72,"136,490",-4.50,-9.65,
30,고려아연,"688,000","하락
				6,000",-0.86%,"5,000","142,439","20,703",12.28,"3,397",74.86,2.28,
31,KT&G,"110,000","상승
				2,200",+2.04%,"5,000","134,269","122,062",43.86,"150,892",12.26,12.66,
32,삼성중공업,"14,670","상승
				130",+0.89%,"1,000","129,096","880,000",29.94,"3,703,989",200.96,1.77,
33,KT,"49,000","상승
				1,350",+2.83%,"5,000","123,491","252,022",49.00,"162,901",26.49,2.85,
34,SK텔레콤,"57,200","상승
				1,000",+1.78%,100,"122,860","214,790",42.39,"471,777",9.85,10.83,
35,삼성SDI,"178,400","하락
				4,200",-2.30%,"5,000","122,676","68,765",31.76,"147,341",21.41,3.13,
36,우리금융지주,"16,400","하락
				10",-0.06%,"5,000","121,785","742,592",45.26,"509,270",3.96,9.39,
37,현대로템,"108,700","상승
				3,900",+3.72%,"5,000","118,638","109,142",30.92,"704,316",29.16,21.85,
38,기업은행,"14,400","상승
				40",+0.28%,"5,000","114,829","797,426",13.74,"205,663",4.34,8.06,
39,LG전자,"70,100","상승
				100",+0.14%,"5,000","114,717","163,648",29.68,"179,210",34.50,1.81,
40,HD현대일렉트릭,"317,000","하락
				4,000",-1.25%,"5,000","114,269","36,047",31.45,"120,696",22.78,39.34,
41,SK스퀘어,"82,700","하락
				1,300",-1.55%,100,"110,444","133,548",51.67,"127,739",3.02,21.70,
42,카카오뱅크,"20,900","상승
				50",+0.24%,"5,000","99,688","476,976",16.86,"125,195",22.64,6.95,
43,LG,"62,600","하락
				100",-0.16%,"5,000","98,470","157,301",34.69,"39,705",17.46,2.16,
44,포스코퓨처엠,"126,300","하락
				2,900",-2.24%,500,"97,836","77,463",9.43,"95,148",-46.08,-7.98,
45,하이브,"226,500","상승
				3,500",+1.57%,500,"94,342","41,652",19.26,"96,357","1,006.67",0.31,
46,포스코인터내셔널,"53,600","하락
				800",-1.47%,"5,000","94,295","175,923",6.17,"189,176",18.32,8.14,
47,유한양행,"115,400","상승
				1,900",+1.67%,"1,000","92,561","80,209",18.34,"318,003",132.80,3.41,
48,삼성전기,"122,500","상승
				2,800",+2.34%,"5,000","91,500","74,694",32.59,"664,328",14.00,8.16,
49,삼성에스디에스,"115,800",보합0,0.00%,500,"89,603","77,378",19.18,"22,321",11.84,8.42,
50,SK,"121,100","하락
				1,800",-1.46%,200,"87,801","72,503",23.28,"33,192",-6.87,-5.64,
