철도운영기관명,호선,전철역명,전철역코드,로마자,일본어,중국어,간체,중국어,번체,환승역여부,신설일자,,,,,,,,
대구교통공사,2호선,문양,216,Munyang,汶陽(ムニャン),汶?,汶陽,N,20051018,,,,,,,,,,
대구교통공사,2호선,다사,217,Dasa,太斯(タサ),太斯,太斯,N,20051018,,,,,,,,,,
대구교통공사,2호선,대실,218,Daesil,テシル,?希?,,N,20051018,,,,,,,,,,
대구교통공사,2호선,강창,219,Gangchang,江倉(カンチャン),江?,江倉,N,20051018,,,,,,,,,,
대구교통공사,2호선,계명대,220,Univ.,Gyemyeongdae,啓明?(ケミョンデ),?明??,啓明?,N,20051018,,,,,,,,,
대구교통공사,2호선,성서산업단지,221,Industrial,Complex,Station,Seongseosaneopdanji,城西産業?地(ソンソサノプダンジ),城西????,(城西???地),城西産業團地驛,N,20051018,,,,,,
대구교통공사,2호선,이곡,222,Igok,梨谷(イゴク),梨谷,梨谷,N,20051018,,,,,,,,,,
대구교통공사,2호선,용산(서부법원·검찰청입구),223,Branch,Court·Prosecutors,Office),Yongsan,(Seobu,Branch,Court·,Seobu,Prosecutor's,Office),龍山(ヨンサン),?山,(西部法院·?察?入口),龍山(西部法院?檢察廳入口),N,20051018
대구교통공사,2호선,죽전,224,Jukjeon,竹田,竹田,竹田,N,20051018,,,,,,,,,,
대구교통공사,2호선,감삼,225,station,Gamsam,甘三,甘三,甘三驛,N,20051018,,,,,,,,,
대구교통공사,2호선,두류,226,Duryu,頭?,??,頭?,N,20051018,,,,,,,,,,
대구교통공사,2호선,내당,227,Naedang,內唐,?唐,內唐,N,20051018,,,,,,,,,,
대구교통공사,2호선,반고개,228,Bangogae,バンコゲ,半高盖,,N,20051018,,,,,,,,,,
대구교통공사,2호선,청라언덕,229,Hill,Station(Sinnam),Cheongnaeondeok,?蘿(チョンナの丘おか,),??坡,(新南),靑蘿坡(新南),Y,20051018,,,,,,
대구교통공사,2호선,반월당,230,Banwoldang,半月堂(パヌォルダン),半月堂,半月堂,Y,20051018,,,,,,,,,,
대구교통공사,2호선,경대병원,231,Nat'l,Univ.,Hosp.,Gyeongdae,Hospital,慶?病院(キョンデビョンウォン),???院,慶?病院,N,20051018,,,,,,
대구교통공사,2호선,대구은행,232,Bank(Daegu,Metropolitan,of,Education),Daegueunhaeng,?邱銀行(テグウネン),?邱?行,(?邱?育?),?邱銀行(?邱敎育廳),N,20041231,,,,,
대구교통공사,2호선,범어,233,Beomeo,泛魚,泛?,泛,漁,N,20051018,,,,,,,,,
대구교통공사,2호선,수성구청(KBS),234,Office,Station(KBS),Suseong-gu,Office(KBS),?城??(スソングチョン),?城??,壽城區廳驛,N,20051018,,,,,,,
대구교통공사,2호선,만촌,235,Manchon,?村(マンチョン),晩村,晩村,N,20051018,,,,,,,,,,
대구교통공사,2호선,담티(산대·대륜),236,College.Daeryun,Middle,＆High,School),Damti(Sandaetwitaeryun),タムティ(?城?·?倫),丹替,(?城?·??),(壽城?ㆍ?倫),N,20051018,,,,,
대구교통공사,2호선,연호,237,Yeonho,蓮湖(ヨノ),蓮湖,蓮湖,N,20051018,,,,,,,,,,
대구교통공사,2호선,수성알파시티,238,Grand,Park(Samsung,Lions,Park),Grand,park,?公園(テゴンウォン),?公?,?公園(三星라이온즈파크),N,20051018,,,,,
대구교통공사,2호선,고산,239,Gosan,孤山,孤山,孤山,N,20051018,,,,,,,,,,
대구교통공사,2호선,신매,240,Sinmae,新梅,新梅,新梅,N,20051018,,,,,,,,,,
대구교통공사,2호선,사월,241,Sawol,沙月,沙月,沙月,N,20051018,,,,,,,,,,
대구교통공사,2호선,정평,242,JeongPyeong,Jeongpyeong,正坪,正坪,正坪,N,20120919,,,,,,,,,
대구교통공사,2호선,임당,243,Imdang,Station,Imdang,林堂,林堂,林堂驛,N,20120919,,,,,,,,
대구교통공사,2호선,영남대,244,University,Yeongnamdae,嶺南?,嶺南?,嶺南?,N,20120919,,,,,,,,,
