철도운영기관명,호선,전철역명,전철역코드,로마자,일본어,중국어,간체,중국어,번체,환승역여부,신설일자,,,,
대구교통공사,3호선,칠곡경대병원,312,Kyungpook,Nat‘l,Univ.Medical,Center,Chilgokgyeongdae,Hospital,漆谷慶?病院,漆谷???院,漆谷,慶?病院,N,20150423
대구교통공사,3호선,학정,313,Hakjeong,鶴亭,?亭,鶴亭,N,20150423,,,,,,
대구교통공사,3호선,팔거(국립농관원·통계청),314,·,KOSTAT),Palgeo(GungnimnonggwanwonTonggyecheong),八?,(?立農管院·統計?),八?,(?立?管院·???),"八?
(國立農管院統計廳)",N,20150423,,
대구교통공사,3호선,동천,315,Dongcheon,東川,?川,東川,N,20150423,,,,,,
대구교통공사,3호선,칠곡운암,316,Chilgogunam,漆谷雲岩,漆谷云岩,漆谷雲岩,N,20150423,,,,,,
대구교통공사,3호선,구암,317,Science,Univ.·Daegu,Health,College),Guam,鳩岩,?岩,"鳩岩
(科學?·保健?入口)",N,20150423,,
대구교통공사,3호선,태전,318,Taejeon,?田,?田,?田,N,20150423,,,,,,
대구교통공사,3호선,매천,319,Maecheon,梅川,梅川,梅川,N,20150423,,,,,,
대구교통공사,3호선,매천시장,320,Market,Maecheon,Market,梅川市場,梅川市?,梅川市場,N,20150423,,,,
대구교통공사,3호선,팔달,321,Paldal,八達(パルダル),八?,八達,N,20150423,,,,,,
대구교통공사,3호선,공단,322,Gongdan,工?(コンダン),工?,工團,N,20150423,,,,,,
대구교통공사,3호선,만평,323,Manpyeong,万坪(マンピョン),万坪,萬坪,N,20150423,,,,,,
대구교통공사,3호선,팔달시장,324,Market,Paldal,Market,八達市場(パルダルシジャン),八?市?,八達市場,N,20150423,,,,
대구교통공사,3호선,원대,325,Wondae,院垈,院垈,院垈,N,20150423,,,,,,
대구교통공사,3호선,북구청,326,Office(DGB,Daegu,Bank,Park),Buk-gu,Office,達城公園,北??,"北區廳
(DGB?邱銀行 Park)",N,20150423,
대구교통공사,3호선,달성공원,327,Park,Dalseong,park,達城公園(タルソンゴンウォン),?城公?,達城公園,N,20150423,,,,
대구교통공사,3호선,서문시장(동산병원),328,Market(Dongsan,Hospital),Seomun,Market(Dongsan,Hospital),西門市場(ソムンシジャン),西?市?,(?山?院),"西門市場
(東山病院)",N,20150423,
대구교통공사,3호선,청라언덕,329,Hill(Sinnam),Cheongnaeondeok,?蘿チョンナの丘おか,??坡,(新南),"靑蘿坡
(新南)",Y,20150423,,,,
대구교통공사,3호선,남산,330,Namsan,南山(ナムサン),南山,(?明十字路口),南山,N,20150423,,,,,
대구교통공사,3호선,명덕(2.28민주운동기념회관),331,Movement,Hall),Myeongdeok(2.28Minjuundongginyeomhoegwan),明?(ミョンドン),(2·28民主運動紀念?館),明德,(2·28民主???念??),"明德
(2·28民主運動紀念會館)",Y,20150423,,
대구교통공사,3호선,건들바위,332,Geondeulbawi,コンドゥル岩,斗笠岩,,N,20150423,,,,,,
대구교통공사,3호선,대봉교,333,Daebonggyo,?鳳橋,???,?鳳橋,N,20150423,,,,,,
대구교통공사,3호선,수성시장,334,Market,Suseong,Market,壽城市場,?城市?,壽城市場,N,20150423,,,,
대구교통공사,3호선,수성구민운동장,335,District,Stadium,Suseonggumin,Stadium,?城?民運動場(スソングミウンドンジャン),?城?民???,壽城區民運動場,N,20150423,,,
대구교통공사,3호선,어린이회관,336,Hall,Eorinihoegwan,こども?館,?童??,어린이會館,N,20150423,,,,,
대구교통공사,3호선,황금,337,Hwanggeum,黃金,?金,黃金,N,20150423,,,,,,
대구교통공사,3호선,수성못(TBC),338,Suseongmot(TBC),?城池(スソンモッ),?城池,壽城못,N,20150423,,,,,,
대구교통공사,3호선,지산,339,Jisan,池山,池山,池山,N,20150423,,,,,,
대구교통공사,3호선,범물,340,Beommul,凡勿,凡勿,凡勿,N,20150423,,,,,,
대구교통공사,3호선,용지,341,Yongji,龍池,龍池,龍池,N,20150423,,,,,,
