철도운영기관명,호선,전철역명,전철역코드,도로명주소,,,,,,,,
광주도시철도공사,1호선,녹동,100,동구,용산동,1-1,광주광역시,동구,녹동길,45(용산동),,
광주도시철도공사,1호선,소태,101,동구,소태동,664-1,광주광역시,동구,남문로,지하,587(소태동),
광주도시철도공사,1호선,학동증심사입구,102,동구,학동,1004-1,광주광역시,동구,남문로,지하,700(학동),
광주도시철도공사,1호선,남광주,103,동구,학동,994,광주광역시,동구,제봉로,지하,14(학동),
광주도시철도공사,1호선,문화전당,103,동구,광산동,13,광주광역시,동구,문화전당로,26번길,지하,7(광산동)
광주도시철도공사,1호선,금남로4가,105,동구,금남로4가,105,광주광역시,동구,금남로,지하,210(금남로4가),
광주도시철도공사,1호선,금남로5가,106,북구,북동,299,광주광역시,북구,금남로,지하,138(북동),
광주도시철도공사,1호선,양동시장,107,서구,양동,304-3,광주광역시,서구,경열로,지하,152(양동),
광주도시철도공사,1호선,돌고개,108,서구,농성동,671-1,광주광역시,서구,경열로,지하,87(농성동),
광주도시철도공사,1호선,농성,109,서구,농성동,483-11,광주광역시,서구,상무대로,지하,1123(농성동),
광주도시철도공사,1호선,화정,110,서구,화정동,791,광주광역시,서구,상무대로,지하,1041(화정동),
광주도시철도공사,1호선,쌍촌,111,서구,쌍촌동,1006,광주광역시,서구,상무대로,지하,983(쌍촌동),
광주도시철도공사,1호선,운천,112,서구,쌍촌동,1006,광주광역시,서구,상무대로,지하,883(쌍촌동),
광주도시철도공사,1호선,상무,113,서구,마륵동,162-3,광주광역시,서구,상무대로,지하,777(마륵동),
광주도시철도공사,1호선,김대중컨벤션센터,114,서구,마륵동,170-40,광주광역시,서구,상무대로,지하,705(마륵동),
광주도시철도공사,1호선,공항,115,광산구,신촌동,682-29,광주광역시,광산구,상무대로,지하,416-99(신촌동),
광주도시철도공사,1호선,송정공원,116,광산구,송정동,713,광주광역시,광산구,상무대로,지하,314-99(송정동),
광주도시철도공사,1호선,광주송정역,117,광산구,송정동,1003-12,광주광역시,광산구,상무대로,지하,201-99(송정동),
광주도시철도공사,1호선,도산,118,광산구,도산동1023-3,광주광역시,광산구,상무대로,지하,125-99(도산동),,
광주도시철도공사,1호선,평동,119,광산구,월전동,51-23,광주광역시,광산구,평동로,870(월전동),,
