철도운영기관명,호선,전철역명,전철역코드,도로명주소,,,,,,,
대전교통공사,1호선,갈마,113,서구,갈마동,1462,서구,한밭대로,지하,666,(갈마동)
대전교통공사,1호선,갑천,115,서구,월평동,1555,서구,갑천도시고속도로,지하1833,(월평동),
대전교통공사,1호선,구암,117,유성구,구암동,96-3,유성대로,703,(구암동),,
대전교통공사,1호선,노은,120,유성구,지족동,962,유성구,노은로,지하,161,(지족동)
대전교통공사,1호선,대동,103,동구,대동,407-1,동구,계족로,지하,176,(대동)
대전교통공사,1호선,대전,103,동구,중동,317,동구,중앙로,지하,218,(중동)
대전교통공사,1호선,반석,122,유성구,반석동,685,유성구,북유성대로,지하,303,(반석동)
대전교통공사,1호선,서대전네거리,107,중구,용두동,155,중구,계룡로,지하,889,(용두동)
대전교통공사,1호선,시청,111,서구,둔산동,1408-1,서구,둔산중로,지하,55,(둔산동)
대전교통공사,1호선,신흥,102,동구,판암동,708-3,동구,옥천로,지하,70(판암동),
대전교통공사,1호선,오룡,108,중구,오류동,195,중구,계룡로,지하,793,(오류동)
대전교통공사,1호선,용문,109,서구,용문동,262,서구,계룡로,지하,644,(용문동)
대전교통공사,1호선,월드컵경기장,119,유성구,노은동,566,유성구,한밭대로,지하,155,(노은동)
대전교통공사,1호선,월평,114,서구,월평동,1503-1,서구,한밭대로,지하,595,(월평동)
대전교통공사,1호선,유성온천,116,유성구,봉명동,553-2,유성구,계룡로,지하,97,(봉명동)
대전교통공사,1호선,정부청사,112,서구,둔산동,1515-1,서구,한밭대로,지하,744,(둔산동)
대전교통공사,1호선,중구청,106,중구,선화동,383,중구,중앙로,지하,71,(선화동)
대전교통공사,1호선,중앙로,105,중구,은행동,216,중구,중앙로,지하,145,(은행동)
대전교통공사,1호선,지족,121,유성구,지족동,836-6,유성구,노은로,273,(지족동),
대전교통공사,1호선,탄방,110,서구,탄방동,1449,서구,문정로48번길,지하,19,(탄방동)
대전교통공사,1호선,판암,101,동구,판암동,484,동구,옥천로,지하,162,(판암동)
대전교통공사,1호선,현충원,118,유성구,구암동,424,유성구,현충원로,지하,455,(구암동)
